"","TRANSMITTER","DETECTEDID","DATETIME","X","Y","D","LAT","LON","n","HPE","HPEm","TEMP","DEPTH","ACCEL","DRX","URX","SDx","SDy","DATETIME_formatted"
"61","Jonah35","A69-1602-17084","7/2/2019 23:13",1002.37,927.61,6.4,43.067267,-70.709045,14,2.8,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S14","S01 S02 S09 S10 S11 S14",2.024732046,6.455419845,2019-07-02 23:13:00
"62","Jonah35","A69-1602-17084","7/2/2019 23:15",1000.41,927.04,6.4,43.067262,-70.709069,8,3.3,NA,NA,NA,NA,"S01 S03 S05 S08 S09","S01 S03 S05 S08 S09",4.402625536,16.52141732,2019-07-02 23:15:00
"63","Jonah35","A69-1602-17084","7/2/2019 23:21",992.29,935.53,6.4,43.067339,-70.709169,11,3,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S14","S01 S03 S05 S08 S09 S14",2.024732046,6.455419845,2019-07-02 23:21:00
"64","Jonah35","A69-1602-17084","7/2/2019 23:24",989.81,937.32,6.4,43.067355,-70.709199,10,3.5,NA,NA,NA,NA,"S01 S02 S03 S05 S08","S01 S02 S03 S05 S08",4.402625536,16.52141732,2019-07-02 23:24:00
"65","Jonah35","A69-1602-17084","7/2/2019 23:27",993.29,940.68,6.4,43.067385,-70.709156,10,3,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S15","S01 S02 S05 S08 S09 S15",2.024732046,6.455419845,2019-07-02 23:27:00
"66","Jonah35","A69-1602-17084","7/2/2019 23:34",998.74,948.48,6.4,43.067455,-70.70909,15,3,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S11 S12 S15","S01 S02 S09 S11 S12 S15",2.024732046,6.455419845,2019-07-02 23:34:00
"67","Jonah35","A69-1602-17084","7/2/2019 23:39",1003.27,954.43,6.4,43.067509,-70.709034,17,3,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09","S01 S02 S03 S05 S08 S09",2.024732046,6.455419845,2019-07-02 23:39:00
"68","Jonah35","A69-1602-17084","7/2/2019 23:46",1013.22,958.15,6.4,43.067542,-70.708912,9,3.2,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S14 S15","S01 S09 S10 S11 S14 S15",4.402625536,16.52141732,2019-07-02 23:46:00
"69","Jonah35","A69-1602-17084","7/2/2019 23:51",1015.47,955.19,6.4,43.067516,-70.708884,10,3.2,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S14","S01 S02 S05 S08 S09 S14",4.402625536,16.52141732,2019-07-02 23:51:00
"70","Jonah35","A69-1602-17084","7/2/2019 23:56",1017,953.33,6.4,43.067499,-70.708865,8,3.2,NA,NA,NA,NA,"S01 S02 S03 S05 S11","S01 S02 S03 S05 S11",4.402625536,16.52141732,2019-07-02 23:56:00
"71","Jonah35","A69-1602-17084","7/3/2019 0:13",1034.27,953.83,6.4,43.067503,-70.708653,2,14.2,NA,NA,NA,NA,"S02 S03 S08 S09","S02 S03 S08 S09",6.330886979,12.57993506,2019-07-03 00:13:00
"72","Jonah35","A69-1602-17084","7/3/2019 0:16",1027.14,949.46,6.4,43.067464,-70.708741,1,12.3,NA,NA,NA,NA,"S01 S02 S08","S01 S02 S08",7.783888205,25.10134152,2019-07-03 00:16:00
"73","Jonah35","A69-1602-17084","7/3/2019 0:19",1027.43,949.64,6.4,43.067466,-70.708737,3,4.7,NA,NA,NA,NA,"S03 S05 S08 S09","S03 S05 S08 S09",3.34333392,12.32610668,2019-07-03 00:19:00
"74","Jonah35","A69-1602-17084","7/3/2019 0:38",1034.27,948.37,6.4,43.067454,-70.708653,13,2.9,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S11 S14","S01 S02 S05 S09 S11 S14",2.024732046,6.455419845,2019-07-03 00:38:00
"75","Jonah35","A69-1602-17084","7/3/2019 0:42",1037.88,946.08,6.4,43.067434,-70.708609,7,2.9,NA,NA,NA,NA,"S01 S05 S08 S09 S11","S01 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-03 00:42:00
"76","Jonah35","A69-1602-17084","7/3/2019 0:45",1038.67,947.37,6.4,43.067445,-70.708599,17,2.7,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S11","S01 S02 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-03 00:45:00
"77","Jonah35","A69-1602-17084","7/3/2019 0:48",1039.47,944.34,6.4,43.067418,-70.708589,11,2.8,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S11 S14","S01 S05 S08 S09 S11 S14",2.024732046,6.455419845,2019-07-03 00:48:00
"78","Jonah35","A69-1602-17084","7/3/2019 0:54",1040.58,943.82,6.4,43.067413,-70.708576,10,4.3,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S13 S14","S01 S02 S09 S10 S13 S14",3.34333392,12.32610668,2019-07-03 00:54:00
"79","Jonah35","A69-1602-17084","7/3/2019 1:04",1038.83,944.72,6.4,43.067421,-70.708597,17,2.7,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S11","S01 S02 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-03 01:04:00
"80","Jonah35","A69-1602-17084","7/3/2019 1:07",1035.71,939.35,6.4,43.067373,-70.708636,9,3.2,NA,NA,NA,NA,"S01 S05 S08 S09 S10 S11 S13 S14","S01 S09 S10 S11 S13 S14",4.402625536,16.52141732,2019-07-03 01:07:00
"81","Jonah35","A69-1602-17084","7/3/2019 1:12",1039.17,941.48,6.4,43.067392,-70.708593,8,4.1,NA,NA,NA,NA,"S01 S02 S05 S08 S09","S01 S02 S05 S08 S09",3.34333392,12.32610668,2019-07-03 01:12:00
"82","Jonah35","A69-1602-17084","7/3/2019 1:15",1038.27,939.66,6.4,43.067376,-70.708604,13,3,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S14","S01 S02 S09 S10 S11 S14",2.024732046,6.455419845,2019-07-03 01:15:00
"83","Jonah35","A69-1602-17084","7/3/2019 1:17",1040.48,939.19,6.4,43.067372,-70.708577,17,3.7,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09","S01 S02 S03 S05 S08 S09",4.402625536,16.52141732,2019-07-03 01:17:00
"84","Jonah35","A69-1602-17084","7/3/2019 1:19",1040.75,939.55,6.4,43.067375,-70.708574,1,16.2,NA,NA,NA,NA,"S01 S03 S08","S01 S03 S08",6.560360945,13.72039801,2019-07-03 01:19:00
"85","Jonah35","A69-1602-17084","7/3/2019 1:26",1038.49,941.29,6.4,43.067391,-70.708601,3,5.3,NA,NA,NA,NA,"S01 S05 S08 S09","S01 S05 S08 S09",4.890255191,19.61112565,2019-07-03 01:26:00
"86","Jonah35","A69-1602-17084","7/3/2019 1:28",1038.37,941.09,6.4,43.067389,-70.708603,8,2.9,NA,NA,NA,NA,"S01 S05 S08 S09 S11","S01 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-03 01:28:00
"87","Jonah35","A69-1602-17084","7/3/2019 1:31",1040.68,941.43,6.4,43.067392,-70.708575,17,2.7,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S11","S01 S02 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-03 01:31:00
"88","Jonah35","A69-1602-17084","7/3/2019 1:35",1040.6,942.06,6.4,43.067397,-70.708576,17,2.7,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S11","S01 S02 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-03 01:35:00
"89","Jonah35","A69-1602-17084","7/3/2019 1:38",1031.04,942.31,6.4,43.0674,-70.708693,8,3.4,NA,NA,NA,NA,"S01 S05 S08 S09 S10","S01 S05 S08 S09 S10",4.402625536,16.52141732,2019-07-03 01:38:00
