id,date,lc,lon,lat,smaj,smin,eor
PS-R254-M-18,2019-01-03T05:28:20Z,B,74.02,-52.12,269354,3439,73
PS-R254-M-18,2019-01-03T06:03:11Z,B,73.59,-52.27,40876,44,87
PS-R254-M-18,2019-01-03T11:31:45Z,B,73.78,-52.2,1325,237,86
PS-R254-M-18,2019-01-03T11:31:45Z,B,73.77,-52.18,4867,631,151
PS-R254-M-18,2019-01-03T12:30:01Z,B,73.78,-52.21,3932,817,83
PS-R254-M-18,2019-01-03T15:30:55Z,B,73.82,-52.21,35356,214,85
PS-R254-M-18,2019-01-03T15:52:52Z,B,73.65,-52.23,1459,394,111
PS-R254-M-18,2019-01-03T16:03:20Z,B,73.77,-52.17,61560,1432,84
PS-R254-M-18,2019-01-03T16:34:46Z,B,73.71,-52.2,130863,545,93
PS-R254-M-18,2019-01-03T17:12:46Z,B,73.68,-52.2,26190,1824,92
PS-R254-M-18,2019-01-03T17:31:50Z,B,73.63,-52.22,6847,2659,112
PS-R254-M-18,2019-01-03T21:18:37Z,B,73.64,-52.1,28262,2581,94
PS-R254-M-18,2019-01-04T01:15:51Z,B,73.75,-52.18,7447,796,21
PS-R254-M-18,2019-01-04T01:28:20Z,B,73.71,-52.25,4882,969,120
PS-R254-M-18,2019-01-04T01:40:36Z,B,73.71,-52.21,13780,449,101
PS-R254-M-18,2019-01-04T02:19:26Z,0,73.77,-52.13,25238,1382,55
PS-R254-M-18,2019-01-04T02:50:58Z,B,73.81,-52.24,12360,4618,68
PS-R254-M-18,2019-01-04T03:03:02Z,A,73.82,-52.18,40591,672,101
PS-R254-M-18,2019-01-04T03:25:02Z,B,73.9,-52.11,15980,6125,76
PS-R254-M-18,2019-01-04T11:21:47Z,B,73.83,-52.15,56069,493,94
PS-R254-M-18,2019-01-04T12:37:33Z,B,73.79,-52.18,167790,86,98
PS-R254-M-18,2019-01-04T13:04:22Z,B,73.77,-52.18,20180,459,99
PS-R254-M-18,2019-01-04T16:14:17Z,B,73.73,-52.17,35800,262,96
PS-R254-M-18,2019-01-04T17:01:08Z,B,73.69,-52.2,14916,377,107
PS-R254-M-18,2019-01-04T17:24:56Z,A,73.61,-52.16,15838,2746,98
PS-R254-M-18,2019-01-04T17:48:03Z,B,73.77,-52.21,11819,3547,58
PS-R254-M-18,2019-01-04T21:12:57Z,B,73.79,-52.2,56503,986,74
PS-R254-M-18,2019-01-04T21:56:49Z,B,73.83,-52.21,23832,2223,73
PS-R254-M-18,2019-01-04T22:47:37Z,A,74.01,-52.11,26498,2819,97
PS-R254-M-18,2019-01-04T23:29:26Z,B,74.06,-52.09,30959,5663,95
PS-R254-M-18,2019-01-05T02:24:35Z,B,73.86,-52.05,43476,664,33
PS-R254-M-18,2019-01-05T02:51:55Z,A,73.84,-52.1,4678,433,75
PS-R254-M-18,2019-01-05T02:52:15Z,B,73.81,-52.12,11429,232,96
PS-R254-M-18,2019-01-05T03:06:03Z,A,73.81,-52.09,19499,290,111
PS-R254-M-18,2019-01-05T03:33:40Z,A,73.85,-52.1,14266,6003,86
PS-R254-M-18,2019-01-05T04:00:23Z,B,73.87,-52.16,13288,2502,85
