id,date,lc,lon,lat,smaj,smin,eor
F02-B-17,2017-10-07T14:32:18.425709Z,G,67.177122943112,-47.0460489530106,,,
F02-B-17,2017-10-07T14:32:21.571347Z,G,67.1769034320569,-47.0459532233774,,,
F02-B-17,2017-10-07T14:33:26.332372Z,G,67.1772248434419,-47.046154777676,,,
F02-B-17,2017-10-07T14:33:30.244119Z,G,67.1772907376956,-47.0463683777303,,,
F02-B-17,2017-10-07T14:49:59.739003Z,G,67.1635325514558,-47.0411931766033,,,
F02-B-17,2017-10-07T14:50:04.608752Z,G,67.1636259301391,-47.0411636940475,,,
F02-B-17,2017-10-07T14:51:13.280598Z,G,67.1637545845337,-47.0413957681367,,,
F02-B-17,2017-10-07T14:51:16.794982Z,G,67.1637672648042,-47.0414614261395,,,
F02-B-17,2017-10-07T15:11:34.061192Z,G,67.1513154365114,-47.0316378621668,,,
F02-B-17,2017-10-07T15:11:35.154045Z,G,67.1512041462891,-47.0315745117361,,,
F02-B-17,2017-10-07T15:33:03.927169Z,G,67.1361851713891,-47.0255503686982,,,
F02-B-17,2017-10-07T15:34:07.736388Z,G,67.1361431504306,-47.0258424964549,,,
F02-B-17,2017-10-07T15:34:09.956664Z,G,67.1361103443442,-47.0258982001927,,,
F02-B-17,2017-10-07T15:55:43.099881Z,G,67.1223984744296,-47.020824914587,,,
F02-B-17,2017-10-07T15:55:49.494083Z,G,67.1227140273011,-47.0205524932882,,,
F02-B-17,2017-10-07T15:56:52.309755Z,G,67.1231321685982,-47.0206813450243,,,
F02-B-17,2017-10-07T15:56:55.800372Z,G,67.1228995840492,-47.0208152668403,,,
F02-B-17,2017-10-07T16:22:02.509098Z,G,67.1056815484572,-47.0245047144598,,,
F02-B-17,2017-10-07T16:22:03.632407Z,G,67.1063600629975,-47.0242186520262,,,
F02-B-17,2017-10-07T16:23:05.250057Z,G,67.1058086106957,-47.0244386380539,,,
F02-B-17,2017-10-07T16:23:09.553172Z,G,67.1059863256716,-47.0247296989786,,,
F02-B-17,2017-10-07T16:48:53.910949Z,G,67.084821933973,-47.0287808732688,,,
F02-B-17,2017-10-07T16:49:00.162806Z,G,67.084935930684,-47.0287997857851,,,
F02-B-17,2017-10-07T16:50:05.881148Z,G,67.0851910609614,-47.0285287734421,,,
F02-B-17,2017-10-07T16:50:06.998392Z,G,67.0852679484762,-47.0285553110826,,,
F02-B-17,2017-10-07T17:20:40.473098Z,G,67.0979110765509,-47.0170280402561,,,
F02-B-17,2017-10-07T17:20:41.561213Z,G,67.0971546740093,-47.0173002179794,,,
F02-B-17,2017-10-07T17:21:47.241977Z,G,67.0977935168347,-47.0171508737773,,,
F02-B-17,2017-10-07T17:46:20.297657Z,G,67.1080531463861,-47.0012826982593,,,
F02-B-17,2017-10-07T17:46:24.439306Z,G,67.108020621496,-47.0011010289291,,,
F02-B-17,2017-10-07T17:47:27.288512Z,G,67.1085588200377,-47.001351158213,,,
F02-B-17,2017-10-07T17:47:28.327463Z,G,67.1084754944817,-47.0010071338838,,,
F02-B-17,2017-10-07T18:09:51.467884Z,G,67.1066261967367,-46.9851909459762,,,
F02-B-17,2017-10-07T18:10:57.417687Z,G,67.1074458423402,-46.9848688824781,,,
F02-B-17,2017-10-07T18:11:01.763671Z,G,67.1075263157976,-46.984952338129,,,
F02-B-17,2017-10-07T18:33:33.638535Z,G,67.1010272821738,-46.9691101493082,,,
F02-B-17,2017-10-07T18:34:35.269241Z,G,67.101589493197,-46.9688705342843,,,
F02-B-17,2017-10-07T18:34:39.839282Z,G,67.1017887743549,-46.9687869098617,,,
F02-B-17,2017-10-07T18:57:56.127695Z,G,67.0924686156126,-46.9575750100622,,,
F02-B-17,2017-10-07T18:57:57.252071Z,G,67.0926313648316,-46.9573036325668,,,
F02-B-17,2017-10-07T18:59:00.682143Z,G,67.0925801426869,-46.9573794459467,,,
F02-B-17,2017-10-07T18:59:03.630246Z,G,67.0929374011692,-46.9571634393638,,,
F02-B-17,2017-10-07T19:22:19.373038Z,G,67.0758806679017,-46.9468310809401,,,
F02-B-17,2017-10-07T19:22:22.584819Z,G,67.0765270882441,-46.9470010456439,,,
F02-B-17,2017-10-07T19:23:27.794292Z,G,67.0766141431335,-46.9469683545346,,,
F02-B-17,2017-10-07T19:23:28.884761Z,G,67.0761322792759,-46.9465883450737,,,
F02-B-17,2017-10-07T19:47:06.428631Z,G,67.0605298069457,-46.9390472317129,,,
F02-B-17,2017-10-07T19:47:09.382316Z,G,67.0609229102448,-46.939180293101,,,
F02-B-17,2017-10-07T19:48:11.048055Z,G,67.0601223487135,-46.9384147696438,,,
F02-B-17,2017-10-07T20:10:46.378352Z,G,67.0455288634697,-46.9318191085432,,,
F02-B-17,2017-10-07T20:10:47.500525Z,G,67.0458656802311,-46.9318315883949,,,
F02-B-17,2017-10-07T20:11:50.616256Z,G,67.045618094651,-46.9317611109172,,,
F02-B-17,2017-10-07T20:11:51.726690Z,G,67.0456269348567,-46.9314447742677,,,
F02-B-17,2017-10-07T20:33:41.699579Z,G,67.03107718858,-46.9216345618906,,,
F02-B-17,2017-10-07T20:33:52.014932Z,G,67.0307926093383,-46.9217528955212,,,
F02-B-17,2017-10-07T20:34:53.616419Z,G,67.0302700477831,-46.921741820742,,,
F02-B-17,2017-10-07T20:34:55.644792Z,G,67.0305921650401,-46.9216358482711,,,
F02-B-17,2017-10-07T20:55:40.966643Z,G,67.0146582091429,-46.915528902019,,,
F02-B-17,2017-10-07T20:55:42.092678Z,G,67.0148505934085,-46.9156581497132,,,
F02-B-17,2017-10-07T20:56:43.687577Z,G,67.0145783157763,-46.9153173562407,,,
F02-B-17,2017-10-07T20:56:44.811721Z,G,67.0146951529189,-46.9154677927335,,,
F02-B-17,2017-10-07T21:13:34.015239Z,G,66.9983741597476,-46.906532635576,,,
F02-B-17,2017-10-07T21:13:35.086858Z,G,66.9981044735881,-46.9069329486692,,,
F02-B-17,2017-10-07T21:14:36.730670Z,G,66.9983698642517,-46.9066995916264,,,
F02-B-17,2017-10-07T21:14:37.834919Z,G,66.9984358535626,-46.906647588953,,,
F02-B-17,2017-10-07T21:35:06.653198Z,G,66.9808476936235,-46.8992130379156,,,
